batch_index,direction,level,category,broken_idx,dist_traveled_50,ret_10,ret_20,ret_50
58,-1,1.032729983329773,missed,2744,0.002199983329773003,-0.000770016670227136,-0.001090016670227012,-0.004380016670227027
59,1,1.0369600057601929,matched,2790,0.0026399942398072085,0.0005299942398071522,0.0007599942398071047,0.0006899942398070902
60,1,1.03780996799469,matched,2803,0.0017900320053101382,-0.001139967994689961,0.0004300320053101103,-0.0037199679946899877
61,-1,1.0356600284576416,matched,2846,0.006850028457641599,-0.0001899715423583359,0.0025600284576416943,0.0055100284576417025
62,-1,1.0320099592208862,matched,2874,0.008449959220886205,-0.0009900407791136878,0.00024995922088622,0.008349959220886216
63,1,1.0248600244522095,matched,2980,0.003279975547790581,-0.0008700244522095169,0.001189975547790434,0.0016699755477904699
64,1,1.0268000364303589,matched,3015,0.004019963569641183,0.0007699635696412077,5.9963569641219294e-05,0.003379963569641209
65,1,1.0288699865341187,matched,3051,0.004230013465881255,0.0008400134658812508,0.0014800134658814468,0.0041200134658814225
66,1,1.0308200120925903,matched,3075,0.00405998790740969,-0.0007100120925902509,0.00034998790740958796,0.0026799879074097532
67,1,1.0321199893951416,matched,3087,0.0027600106048584205,-0.00012998939514163865,0.0004800106048583608,-6.998939514168967e-05
68,1,1.0324900150299072,matched,3097,0.005909984970092763,0.0006599849700927862,-0.0010200150299071176,0.003879984970092787
69,1,1.0419299602508545,matched,3178,0.0029200397491455643,0.002070039749145547,0.001450039749145482,-0.0007699602508544068
70,-1,1.040120005607605,missed,3268,0.0005300056076049664,-0.0006299943923950835,-0.001199994392395043,-0.0021499943923950493
71,1,1.041509985923767,matched,3283,0.0014200140762328228,0.0005100140762328564,0.00038001407623289296,-0.0040799859237670155
72,-1,1.0382200479507446,matched,3319,0.002740047950744673,0.0007000479507446311,-0.0016699520492553521,0.0005000479507446531
73,1,1.0411800146102905,missed,3349,0.000279985389709525,-0.0006800146102905469,-0.0017900146102904912,-0.006120014610290436
74,-1,1.0366400480270386,matched,3369,0.0025300480270384895,0.0014600480270385852,0.0007100480270385567,-0.01009995197296143
75,1,1.0364999771118164,matched,3390,0.013190022888183606,0.0006900228881836501,0.008050022888183683,0.0012400228881837005
76,1,1.0383700132369995,matched,3396,0.0113199867630005,0.009429986763000553,0.007949986763000405,-0.0043700132369994815
77,1,1.0362399816513062,matched,3473,0.0031700183486937927,0.002450018348693739,0.00047001834869386805,-0.0006199816513061673
78,-1,1.0359899997711182,matched,3515,0.00413999977111823,0.0018999997711182104,0.0027399997711181623,0.0016199997711181524
79,1,1.0360300540924072,matched,3591,0.006849945907592803,-0.00019005409240713256,-0.00012005409240711806,0.004499945907592728
80,1,1.038159966468811,matched,3609,0.004720033531188994,-0.0018099664688109307,-0.0023899664688109556,0.0024600335311890653
81,1,1.0391900539398193,missed,3614,0.0055599460601807316,-0.0072100539398194385,-0.0015000539398193347,0.003239946060180632
82,1,1.0447499752044678,matched,3674,0.006590024795532168,-0.0014999752044677628,0.000840024795532246,0.005750024795532216
83,1,1.0449999570846558,matched,3702,0.008940042915344337,0.00477004291534433,0.004520042915344247,0.007520042915344138
84,1,1.0519299507141113,matched,3734,0.0023000492858886723,2.0049285888612545e-05,-0.0006499507141113359,0.000250049285888565
85,1,1.0528700351715088,matched,3773,0.0016199648284911383,0.0008399648284911354,0.000489964828491285,0.000169964828491187
86,-1,1.0515400171279907,matched,3802,0.008730017127990708,0.004360017127990723,-0.0004199828720092835,-0.0027199828720092523
87,1,1.0534100532531738,matched,3827,0.005069946746826259,0.00013994674682615837,0.0011599467468261793,0.00034994674682620186
88,-1,1.0530400276184082,matched,3885,0.005010027618408186,-0.002849972381591792,-0.003729972381591784,0.003910027618408307
89,-1,1.0485800504684448,matched,4011,0.003070050468444885,0.002190050468444893,0.0019600504684447184,0.002210050468444802
90,-1,1.045930027961731,matched,4038,0.0016200279617308855,-0.0007799720382690722,-0.0015199720382690352,-0.0016599720382690641
91,-1,1.0458099842071533,matched,4060,0.0014999842071532488,0.0009399842071533548,-0.0021900157928467223,-0.004570015792846771
92,-1,1.0501400232315063,matched,4136,0.0011900232315062986,0.00017002323150627774,0.00036002323150641224,-0.0003499767684935762
93,1,1.0514299869537354,matched,4181,0.005080013046264709,0.0014500130462646865,0.0037100130462646153,0.003920013046264659
94,1,1.0563100576400757,matched,4232,0.0024999423599243453,0.0006799423599244125,0.001609942359924288,-0.0005900576400756918
95,1,1.0543800592422485,matched,4443,0.01295994075775142,0.0003799407577513847,-0.0008300592422485487,0.007909940757751421
96,-1,1.0620700120925903,missed,4490,0.0010300120925903489,-0.000329987907409679,-0.0010999879074096164,-0.000609987907409737
97,1,1.0635900497436523,matched,4519,0.0036299502563477137,-0.0004100497436523298,-0.0011900497436523327,0.001189950256347716
98,1,1.0638400316238403,matched,4709,0.002469968376159759,-1.003162384027867e-05,0.0013199683761597747,-0.0027100316238404254
99,1,1.0642999410629272,matched,4714,0.002010058937072845,0.00048005893707281366,0.0007800589370727806,-0.0008799410629272142
100,-1,1.062540054321289,matched,4746,0.0040500543212891316,-0.0008499456787109949,0.00040005432128897844,0.003910054321289103
101,1,1.0639699697494507,matched,4767,0.0009200302505492086,-0.002399969749450781,-0.0029099697494507915,-0.00392996974945059
102,-1,1.0597599744796753,matched,4791,0.0016399744796753435,-0.0005800255203247673,0.0005199744796753336,-0.002080025520324602
103,1,1.0612900257110596,matched,4829,0.00450997428894051,0.0016299742889405167,0.0038499742889404054,0.0010299742889403607
104,-1,1.0597200393676758,matched,4867,0.0021600393676757257,-0.0028899606323242732,-0.0010099606323241694,-0.004449960632324279
105,-1,1.060230016708374,matched,4902,0.002350016708374092,-0.00036998329162596377,-0.0010399832916259122,-0.003199983291626074
106,1,1.0625100135803223,matched,4935,0.0033599864196778295,0.0006699864196777483,-0.000940013580322363,0.00029998641967776685
107,-1,1.0616600513458252,matched,5006,0.0012100513458253026,0.0006900513458252266,0.0002900513458252707,0.0002600513458252962
108,-1,1.0595899820327759,missed,5064,0.0005499820327758975,-0.0004500179672242144,-0.0015100179672240532,-0.004250017967224018
109,1,1.062019944190979,matched,5096,0.003930055809020949,-0.0012199441909790387,0.0008300558090210686,0.0023500558090210344
110,1,1.0646100044250488,matched,5113,0.001339995574951125,-0.0008100044250487493,-0.00024000442504878983,-0.006040004425048817
111,1,1.0612399578094482,matched,5216,0.0020600421905516697,0.0009600421905517909,0.0003400421905517259,0.0009000421905518419
112,1,1.0626699924468994,matched,5242,0.0006300075531004978,-0.002349992446899485,-0.00025999244689933754,-0.00034999244689948306
113,1,1.0627000331878662,matched,5300,0.0022599668121336958,-0.00015003318786610542,4.996681213387255e-05,0.0017799668121338819
114,1,1.062880039215088,matched,5331,0.003159960784912208,-0.00023003921508779612,0.0005599607849120503,0.0026499607849121976
115,1,1.0636500120162964,matched,5341,0.0033099879837035218,0.0003399879837036046,0.0010599879837036585,0.0029599879837036713
116,1,1.0645699501037598,matched,5348,0.002390049896240143,-0.0005299501037596688,0.0007200498962403046,-0.0022099501037597946
117,1,1.0661699771881104,matched,5371,0.0007900228118895569,-0.0009099771881102559,-0.0007099771881102779,-0.0017299771881102988
118,-1,1.063349962234497,matched,5436,0.0009199622344970848,-0.0005300377655028665,-0.00037003776550292855,-0.0015300377655029784
119,-1,1.0630199909210205,matched,5441,0.0005899909210205223,-0.0007800090789795711,-0.0011500090789795525,-0.0017500090789794864
120,1,1.0642199516296387,matched,5460,0.0032200483703612726,0.0005700483703612313,-0.0011299516296385814,-0.001519951629638694
121,1,1.0643199682235718,matched,5487,0.003120031776428167,-0.00013996822357187355,-0.0026099682235718458,-0.0014599682235718614
122,-1,1.0611499547958374,matched,5521,0.0005999547958372986,4.99547958374702e-05,-0.0004100452041626568,-0.0008200452041626782
123,-1,1.061900019645691,matched,5562,0.0008000196456909858,-0.00044998035430898753,-0.002199980354309128,-0.006289980354309055
124,1,1.0642999410629272,matched,5574,0.004740058937072744,-0.0004899410629273238,0.0014800589370727035,0.0018000589370728015
125,1,1.06673002243042,matched,5605,0.0023099775695800684,-0.00020002243041994383,0.000919977569580066,-0.0007400224304199288
126,-1,1.0654699802398682,matched,5655,0.0016099802398681362,0.0011899802398682713,-0.0016100197601318644,-0.0029900197601318013
127,1,1.0701199769973755,matched,5700,0.0012100230026244052,0.0009300230026245693,9.002300262461738e-05,-0.001759976997375512
128,-1,1.0694400072097778,matched,5721,0.003590007209777868,-0.00022999279022206665,0.0018000072097779096,0.003410007209777799
129,-1,1.0674899816513062,matched,5759,0.00255998165130622,0.00023998165130612037,0.0014999816513061592,0.0004299816513062549
130,-1,1.065850019454956,matched,5766,0.0009200194549561225,0.0006400194549560645,-0.0006699805450438578,-0.0009399805450438503
131,-1,1.0650299787521362,matched,5827,0.013069978752136224,-0.001290021247863704,0.0026899787521361684,0.008139978752136123
132,1,1.054919958114624,matched,5850,0.004820041885375881,-0.000489958114624045,0.0011100418853760008,0.0018900418853760037
133,1,1.0568900108337402,matched,5911,0.0066499891662596955,-0.002620010833740194,-8.001083374020723e-05,0.00459998916625981
134,1,1.0578399896621704,matched,5921,0.00570001033782952,0.004320010337829583,0.004230010337829659,0.002120010337829603
135,1,1.0605800151824951,matched,5925,0.0029599848175048127,0.0014899848175049524,0.000779984817504964,-0.00023001518249521347
136,1,1.0610300302505493,matched,5988,0.002119969749450723,0.0018099697494506906,0.00016996974945060472,0.0005899697494506917
137,-1,1.0608799457550049,matched,6003,0.009379945755004782,-0.0005800542449951873,-0.0011400542449950812,0.007739945755004918
138,-1,1.0603100061416626,matched,6039,0.008810006141662496,0.007440006141662625,0.007320006141662505,0.007760006141662501
139,-1,1.0515199899673462,matched,6107,0.001839989967346245,-0.0009100100326537852,-0.0015300100326538502,0.0014499899673461325
140,1,1.0667500495910645,matched,6186,0.005509950408935538,0.00042995040893556435,0.0009699504089355493,0.005109950408935582
141,1,1.0686299800872803,matched,6208,0.0074400199127198086,-0.001529980087280336,-0.0003099800872803371,0.006110019912719755
142,-1,1.0724300146102905,missed,6277,0.0003900146102904234,-0.0015499853897094074,-0.0006299853897093755,-0.0002899853897093685
143,1,1.0756800174713135,missed,6401,0.0019699825286865202,-0.0021900174713134213,-0.000400017471313463,-0.0004500174713135685
144,1,1.0755499601364136,matched,6429,0.0021000398635864226,0.0009800398635864127,-0.0013099601364134905,0.0007700398635863692
145,1,1.0763800144195557,matched,6465,0.0011399855804443693,0.0005499855804442788,0.00022998558044440287,-0.00024001441955556757
146,-1,1.0755599737167358,matched,6501,0.002539973716735755,-0.0005300262832641511,-0.001610026283264121,-0.009270026283264121
147,1,1.0773500204086304,matched,6521,0.009349979591369628,-0.00018002040863041024,0.002629979591369569,0.007529979591369695
148,-1,1.0845500230789185,matched,6573,0.006500023078918504,0.0005800230789183569,0.0009700230789184694,0.0027400230789185187
149,1,1.0835800170898438,matched,6662,0.0038399829101563032,0.0032199829101562383,0.002689982910156319,-0.0008700170898436888
150,1,1.0824700593948364,matched,6752,0.0014099406051635288,0.00039994060516357344,-0.00023005939483633497,-0.00030005939483634947
151,-1,1.0786199569702148,matched,6852,0.002009956970214777,-0.0006900430297851479,0.001169956970214825,-0.004660043029785177
152,1,1.087149977684021,matched,6909,0.001590022315979045,-0.0015199776840209012,-0.0036699776840209974,-0.007489977684020932
153,-1,1.0786800384521484,matched,6956,0.00046003845214848127,-6.99615478516602e-05,-0.0007799615478516486,-0.004239961547851667
154,-1,1.0805000066757202,matched,7009,0.0021400066757202296,0.0010400066757201287,-0.0023499933242798754,-0.0038799933242796847
155,1,1.0840400457382202,missed,7049,0.001869954261779716,-0.0005300457382202417,-0.0007700457382202597,-0.0019900457382202585
156,-1,1.0825200080871582,missed,7071,0.002280008087158114,-0.0023599919128418634,-0.00090999191284169,-0.0022399919128417434
157,-1,1.0893199443817139,matched,7184,0.004679944381713819,0.001639944381713887,0.004119944381713925,0.00249994438171397
